#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN95_c0_g1_i10:400-1344 -            315 440195at33208        -            228   2.4e-83  278.0  13.4   1   2   2.1e-83   4.8e-80  267.1   3.6    17   198    48   249    18   258 0.88 -
TRINITY_DN95_c0_g1_i10:400-1344 -            315 440195at33208        -            228   2.4e-83  278.0  13.4   2   2   2.8e-06    0.0065   14.8   2.3   194   220   264   293   260   315 0.72 -
TRINITY_DN95_c0_g1_i3:401-1345  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   1   2   2.1e-83   4.8e-80  267.1   3.6    17   198    48   249    18   258 0.88 -
TRINITY_DN95_c0_g1_i3:401-1345  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   2   2   2.8e-06    0.0065   14.8   2.3   194   220   264   293   260   315 0.72 -
TRINITY_DN95_c0_g1_i5:423-1367  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   1   2   2.1e-83   4.8e-80  267.1   3.6    17   198    48   249    18   258 0.88 -
TRINITY_DN95_c0_g1_i5:423-1367  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   2   2   2.8e-06    0.0065   14.8   2.3   194   220   264   293   260   315 0.72 -
TRINITY_DN95_c0_g1_i6:423-1367  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   1   2   2.1e-83   4.8e-80  267.1   3.6    17   198    48   249    18   258 0.88 -
TRINITY_DN95_c0_g1_i6:423-1367  -            315 440195at33208        -            228   2.4e-83  278.0  13.4   2   2   2.8e-06    0.0065   14.8   2.3   194   220   264   293   260   315 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/440195at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/initial_run_results/440195at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/440195at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 09:03:08 2021
# [ok]
