#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN5831_c0_g1_i3:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   1   2   6.8e-08   1.1e-05   20.5   2.5    60   137    24   103    18   115 0.89 -
TRINITY_DN5831_c0_g1_i3:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   2   2   6.4e-15     1e-12   43.5   1.1   109   242   115   260   101   261 0.74 -
TRINITY_DN5831_c0_g1_i4:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   1   2   6.8e-08   1.1e-05   20.5   2.5    60   137    24   103    18   115 0.89 -
TRINITY_DN5831_c0_g1_i4:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   2   2   6.4e-15     1e-12   43.5   1.1   109   242   115   260   101   261 0.74 -
TRINITY_DN5831_c0_g1_i7:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   1   2   6.8e-08   1.1e-05   20.5   2.5    60   137    24   103    18   115 0.89 -
TRINITY_DN5831_c0_g1_i7:252-1034 -            261 557694at33208        -            245   1.1e-17   59.7   9.0   2   2   6.4e-15     1e-12   43.5   1.1   109   242   115   260   101   261 0.74 -
TRINITY_DN1372_c0_g1_i1:312-1061 -            250 557694at33208        -            245   3.3e-10   35.3   0.1   1   3   0.00029     0.047    8.6   0.0    62   103     4    45     1    77 0.78 -
TRINITY_DN1372_c0_g1_i1:312-1061 -            250 557694at33208        -            245   3.3e-10   35.3   0.1   2   3   2.9e-05    0.0047   11.8   0.0    56   160    33   148    33   149 0.82 -
TRINITY_DN1372_c0_g1_i1:312-1061 -            250 557694at33208        -            245   3.3e-10   35.3   0.1   3   3   1.3e-08   2.1e-06   22.8   0.0    59   151   114   210   107   219 0.85 -
TRINITY_DN5831_c0_g1_i8:372-662  -             97 557694at33208        -            245   2.2e-08   29.3   0.1   1   1   1.5e-10   2.4e-08   29.2   0.1   120   202     3    95     1    97 0.70 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/557694at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/rerun_results/557694at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/557694at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 10:16:08 2021
# [ok]
