#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN41081_c0_g1_i2:233-781 -            183 560453at33208        -            155   3.9e-78  259.5   9.5   1   1   1.2e-80   1.2e-77  258.0   9.5     6   155    12   178     1   178 0.90 -
TRINITY_DN41081_c0_g1_i3:233-781 -            183 560453at33208        -            155   3.9e-78  259.5   9.5   1   1   1.2e-80   1.2e-77  258.0   9.5     6   155    12   178     1   178 0.90 -
TRINITY_DN41081_c0_g1_i4:233-781 -            183 560453at33208        -            155   3.9e-78  259.5   9.5   1   1   1.2e-80   1.2e-77  258.0   9.5     6   155    12   178     1   178 0.90 -
TRINITY_DN41081_c0_g1_i7:289-837 -            183 560453at33208        -            155   3.9e-78  259.5   9.5   1   1   1.2e-80   1.2e-77  258.0   9.5     6   155    12   178     1   178 0.90 -
TRINITY_DN148828_c0_g1_i1:49-627 -            193 560453at33208        -            155     8e-60  200.1   8.2   1   1   2.7e-62   2.8e-59  198.3   8.2     6   142    14   160    10   186 0.90 -
TRINITY_DN197_c1_g1_i1:92-307    -             70 560453at33208        -            155   2.1e-18   65.6   1.8   1   1   2.1e-21   2.2e-18   65.5   1.8    15    74     6    70     1    70 0.89 -
TRINITY_DN41081_c0_g1_i6:2-115   -             38 560453at33208        -            155   2.7e-11   42.5   0.1   1   1   2.6e-14   2.7e-11   42.5   0.1   118   146     1    29     1    38 0.85 -
TRINITY_DN1304_c0_g1_i1:445-960  -            172 560453at33208        -            155   0.00048   18.9   0.0   1   1   8.9e-07    0.0009   18.0   0.0    71   140    66   137    57   151 0.87 -
TRINITY_DN1304_c0_g1_i2:445-960  -            172 560453at33208        -            155   0.00048   18.9   0.0   1   1   8.9e-07    0.0009   18.0   0.0    71   140    66   137    57   151 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/560453at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/initial_run_results/560453at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/560453at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 09:04:06 2021
# [ok]
