#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN124130_c0_g1_i1:41-493   -            151 515425at33208        -            237     4e-22   74.2   0.1   1   1   9.2e-24   9.2e-22   73.0   0.1    95   198     1   116     1   146 0.83 -
TRINITY_DN179451_c0_g1_i1:68-346   -             93 515425at33208        -            237   1.9e-15   52.3   0.0   1   1   2.2e-17   2.2e-15   52.1   0.0     8    53    24    69    18    84 0.87 -
TRINITY_DN14672_c0_g1_i7:1034-1582 -            183 515425at33208        -            237   1.9e-08   29.4   0.8   1   1   3.6e-10   3.6e-08   28.5   0.8    18   172     1   180     1   183 0.72 -
TRINITY_DN14672_c0_g1_i1:1011-1550 -            180 515425at33208        -            237   2.7e-08   28.9   0.6   1   1     5e-10     5e-08   28.0   0.6    18   171     1   179     1   180 0.72 -
TRINITY_DN14672_c0_g1_i2:97-636    -            180 515425at33208        -            237   2.7e-08   28.9   0.6   1   1     5e-10     5e-08   28.0   0.6    18   171     1   179     1   180 0.72 -
TRINITY_DN14672_c0_g1_i8:1011-1550 -            180 515425at33208        -            237   2.7e-08   28.9   0.6   1   1     5e-10     5e-08   28.0   0.6    18   171     1   179     1   180 0.72 -
TRINITY_DN932_c0_g1_i2:48-641      -            198 515425at33208        -            237   9.3e-06   20.6   0.9   1   1   2.4e-07   2.4e-05   19.3   0.9    17   178     4   188     1   195 0.71 -
TRINITY_DN932_c0_g1_i1:55-606      -            184 515425at33208        -            237   0.00011   17.1   0.5   1   1   2.7e-06   0.00027   15.8   0.5    21   171     2   175     1   183 0.69 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/515425at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/rerun_results/515425at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/515425at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 10:16:08 2021
# [ok]
