#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN27679_c0_g1_i1:143-1183 -            347 545063at33208        -            202   2.3e-30  105.2  28.6   1   5   2.8e-17   1.7e-14   53.4   0.3     9    94    14   103     3   104 0.86 -
TRINITY_DN27679_c0_g1_i1:143-1183 -            347 545063at33208        -            202   2.3e-30  105.2  28.6   2   5    0.0005      0.31   10.1   1.1    71   111    96   135    89   152 0.77 -
TRINITY_DN27679_c0_g1_i1:143-1183 -            347 545063at33208        -            202   2.3e-30  105.2  28.6   3   5     0.058        35    3.4   1.4    87   127   156   195   144   202 0.59 -
TRINITY_DN27679_c0_g1_i1:143-1183 -            347 545063at33208        -            202   2.3e-30  105.2  28.6   4   5   8.9e-05     0.055   12.6   0.1   129   163   235   275   220   277 0.74 -
TRINITY_DN27679_c0_g1_i1:143-1183 -            347 545063at33208        -            202   2.3e-30  105.2  28.6   5   5   1.2e-13   7.2e-11   41.6   5.0   160   202   301   345   293   345 0.92 -
TRINITY_DN27679_c0_g1_i2:76-309   -             78 545063at33208        -            202   2.4e-12   46.4   4.8   1   1   4.7e-15   2.9e-12   46.1   4.8   160   202    34    78    23    78 0.92 -
TRINITY_DN18590_c0_g1_i10:418-603 -             62 545063at33208        -            202   7.6e-05   21.9   1.8   1   1   1.3e-07   7.8e-05   21.9   1.8   165   199    23    59     3    60 0.79 -
TRINITY_DN18590_c0_g1_i12:418-603 -             62 545063at33208        -            202   7.6e-05   21.9   1.8   1   1   1.3e-07   7.8e-05   21.9   1.8   165   199    23    59     3    60 0.79 -
TRINITY_DN18590_c0_g1_i4:418-603  -             62 545063at33208        -            202   7.6e-05   21.9   1.8   1   1   1.3e-07   7.8e-05   21.9   1.8   165   199    23    59     3    60 0.79 -
TRINITY_DN18590_c0_g1_i7:418-603  -             62 545063at33208        -            202   7.6e-05   21.9   1.8   1   1   1.3e-07   7.8e-05   21.9   1.8   165   199    23    59     3    60 0.79 -
TRINITY_DN41491_c0_g1_i1:117-590  -            158 545063at33208        -            202   0.00013   21.2   0.6   1   1   2.8e-07   0.00017   20.7   0.6   162   202     5    50     2    50 0.87 -
TRINITY_DN1036_c0_g1_i1:53-967    -            305 545063at33208        -            202   0.00016   20.8   0.3   1   2      0.21   1.3e+02    1.6   0.0   183   200   185   202   181   203 0.89 -
TRINITY_DN1036_c0_g1_i1:53-967    -            305 545063at33208        -            202   0.00016   20.8   0.3   2   2   4.7e-06    0.0029   16.8   0.0   160   201   235   278   221   278 0.88 -
TRINITY_DN1311_c0_g1_i2:1241-3208 -            656 545063at33208        -            202      0.01   14.9   3.0   1   1   2.9e-05     0.018   14.2   3.0   160   198    88   132    71   135 0.80 -
TRINITY_DN1311_c0_g1_i3:1241-3208 -            656 545063at33208        -            202      0.01   14.9   3.0   1   1   2.9e-05     0.018   14.2   3.0   160   198    88   132    71   135 0.80 -
TRINITY_DN1311_c0_g1_i5:1223-3208 -            662 545063at33208        -            202     0.011   14.9   3.0   1   1   2.9e-05     0.018   14.1   3.0   160   198    88   132    71   135 0.80 -
TRINITY_DN3477_c0_g1_i2:1908-2183 -             92 545063at33208        -            202     0.056   12.5   3.8   1   2   9.8e-05      0.06   12.4   2.8   165   191    25    53    15    59 0.84 -
TRINITY_DN3477_c0_g1_i2:1908-2183 -             92 545063at33208        -            202     0.056   12.5   3.8   2   2       1.6     1e+03   -1.4   0.0    35    52    57    74    53    82 0.61 -
TRINITY_DN3477_c0_g1_i3:1904-2179 -             92 545063at33208        -            202     0.056   12.5   3.8   1   2   9.8e-05      0.06   12.4   2.8   165   191    25    53    15    59 0.84 -
TRINITY_DN3477_c0_g1_i3:1904-2179 -             92 545063at33208        -            202     0.056   12.5   3.8   2   2       1.6     1e+03   -1.4   0.0    35    52    57    74    53    82 0.61 -
TRINITY_DN3477_c0_g1_i7:1901-2176 -             92 545063at33208        -            202     0.056   12.5   3.8   1   2   9.8e-05      0.06   12.4   2.8   165   191    25    53    15    59 0.84 -
TRINITY_DN3477_c0_g1_i7:1901-2176 -             92 545063at33208        -            202     0.056   12.5   3.8   2   2       1.6     1e+03   -1.4   0.0    35    52    57    74    53    82 0.61 -
TRINITY_DN12467_c0_g1_i2:127-426  -            100 545063at33208        -            202      0.07   12.2   0.3   1   1   0.00014     0.086   11.9   0.3   166   190    28    55    15    63 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/545063at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/initial_run_results/545063at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/545063at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 09:04:03 2021
# [ok]
