# BUSCO version is: 5.2.1 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208	Duplicated	TRINITY_DN290_c0_g1_i1:127-7050	4189.3	1989
5951at33208	Duplicated	TRINITY_DN290_c0_g1_i3:127-7050	4189.3	1989
9639at33208	Complete	TRINITY_DN6459_c1_g2_i5:198-6128	2270.1	1592
13816at33208	Duplicated	TRINITY_DN2056_c0_g1_i10:317-6508	1515.0	1334
13816at33208	Duplicated	TRINITY_DN2056_c0_g1_i2:317-6508	1515.0	1334
13816at33208	Duplicated	TRINITY_DN2056_c0_g1_i8:317-6370	1514.1	1345
13816at33208	Duplicated	TRINITY_DN2056_c0_g1_i3:317-5233	1359.9	1124
13816at33208	Duplicated	TRINITY_DN2056_c0_g1_i4:317-5233	1359.9	1124
14776at33208	Duplicated	TRINITY_DN3048_c0_g1_i1:515-8470	2240.6	1762
14776at33208	Duplicated	TRINITY_DN3048_c0_g1_i3:515-8470	2240.6	1762
16244at33208	Complete	TRINITY_DN4096_c0_g1_i1:517-7347	2700.5	1727
40200at33208	Complete	TRINITY_DN25509_c0_g1_i1:2361-4658	677.4	525
45934at33208	Duplicated	TRINITY_DN33946_c1_g1_i4:1089-4472	996.6	861
45934at33208	Duplicated	TRINITY_DN33946_c1_g1_i9:1090-4473	995.4	861
49474at33208	Duplicated	TRINITY_DN4175_c0_g1_i1:97-6174	1538.9	1201
49474at33208	Duplicated	TRINITY_DN4175_c0_g1_i2:265-5986	1308.9	1024
50756at33208	Duplicated	TRINITY_DN4980_c0_g1_i10:782-5095	1284.1	1123
50756at33208	Duplicated	TRINITY_DN4980_c0_g1_i4:782-5095	1284.1	1123
56573at33208	Duplicated	TRINITY_DN837_c0_g1_i11:386-3655	1305.2	919
56573at33208	Duplicated	TRINITY_DN837_c0_g1_i12:386-3655	1305.2	919
56573at33208	Duplicated	TRINITY_DN837_c0_g1_i1:386-3655	1305.2	919
56573at33208	Duplicated	TRINITY_DN837_c0_g1_i3:387-3656	1305.2	919
57158at33208	Duplicated	TRINITY_DN1699_c0_g1_i1:63-3731	1859.6	1037
57158at33208	Duplicated	TRINITY_DN1699_c0_g1_i3:63-3731	1859.6	1037
63697at33208	Duplicated	TRINITY_DN2837_c0_g1_i1:912-4607	1932.9	992
63697at33208	Duplicated	TRINITY_DN2837_c0_g1_i2:912-4652	1932.7	992
63697at33208	Duplicated	TRINITY_DN2837_c0_g1_i3:913-3963	1931.2	919
64435at33208	Duplicated	TRINITY_DN7671_c0_g1_i1:83-3367	240.6	421
64435at33208	Duplicated	TRINITY_DN7671_c0_g1_i6:83-3367	240.6	421
65302at33208	Complete	TRINITY_DN2999_c0_g1_i1:44-3481	1345.6	1006
66018at33208	Duplicated	TRINITY_DN40501_c0_g1_i2:67-4215	1551.2	868
66018at33208	Duplicated	TRINITY_DN40501_c0_g1_i1:67-4215	1551.0	868
66018at33208	Duplicated	TRINITY_DN40501_c0_g1_i3:67-4215	1551.0	868
75406at33208	Duplicated	TRINITY_DN2257_c0_g1_i1:96-2507	565.4	569
75406at33208	Duplicated	TRINITY_DN2257_c0_g1_i6:130-2541	565.2	569
76852at33208	Duplicated	TRINITY_DN11863_c0_g1_i11:64-2592	624.6	541
76852at33208	Duplicated	TRINITY_DN11863_c0_g1_i8:459-4112	622.1	565
76852at33208	Duplicated	TRINITY_DN11863_c0_g1_i2:459-4112	621.9	565
84980at33208	Duplicated	TRINITY_DN52_c0_g1_i1:103-3057	858.0	565
84980at33208	Duplicated	TRINITY_DN52_c0_g1_i2:115-3069	858.0	565
88053at33208	Duplicated	TRINITY_DN10042_c0_g1_i11:665-3334	433.5	493
88053at33208	Duplicated	TRINITY_DN10042_c0_g1_i13:661-3330	433.5	493
88053at33208	Duplicated	TRINITY_DN10042_c0_g1_i6:661-3330	433.5	493
88053at33208	Duplicated	TRINITY_DN10042_c0_g1_i7:661-3330	433.5	493
88053at33208	Duplicated	TRINITY_DN10042_c0_g1_i10:101-2479	387.6	441
92367at33208	Duplicated	TRINITY_DN1622_c0_g1_i3:167-2341	327.3	431
92367at33208	Duplicated	TRINITY_DN1622_c0_g1_i1:167-2347	327.3	431
99614at33208	Duplicated	TRINITY_DN19919_c0_g1_i4:7-3483	1391.2	955
99614at33208	Duplicated	TRINITY_DN19919_c0_g1_i3:7-3483	1388.8	955
99614at33208	Duplicated	TRINITY_DN19919_c0_g1_i5:7-3483	1388.8	955
99614at33208	Duplicated	TRINITY_DN19919_c0_g1_i2:7-3318	1388.6	954
99987at33208	Duplicated	TRINITY_DN1946_c0_g1_i1:522-3338	886.3	731
99987at33208	Duplicated	TRINITY_DN1946_c0_g1_i3:522-3329	885.8	732
102804at33208	Duplicated	TRINITY_DN19176_c0_g1_i1:95-3214	1265.1	895
102804at33208	Duplicated	TRINITY_DN19176_c0_g1_i2:95-3214	1265.1	895
102804at33208	Duplicated	TRINITY_DN19176_c0_g1_i3:3-2687	1134.9	777
103854at33208	Duplicated	TRINITY_DN5061_c0_g1_i2:162-2651	644.1	626
103854at33208	Duplicated	TRINITY_DN5061_c0_g1_i3:162-2651	644.1	626
107151at33208	Complete	TRINITY_DN7193_c0_g1_i6:671-3451	1302.9	781
107574at33208	Duplicated	TRINITY_DN20977_c0_g1_i6:2-4138	430.2	491
107574at33208	Duplicated	TRINITY_DN20977_c0_g1_i9:2-3700	428.9	442
108764at33208	Duplicated	TRINITY_DN8548_c0_g1_i2:1082-4159	358.1	523
108764at33208	Duplicated	TRINITY_DN8548_c0_g1_i3:480-3557	358.1	523
108764at33208	Duplicated	TRINITY_DN8548_c0_g1_i4:1199-4276	358.1	523
108764at33208	Duplicated	TRINITY_DN8548_c0_g1_i5:403-3480	358.1	523
108764at33208	Duplicated	TRINITY_DN8548_c0_g1_i6:1192-4269	358.1	523
109109at33208	Duplicated	TRINITY_DN6942_c0_g1_i2:1412-3826	1073.2	588
109109at33208	Duplicated	TRINITY_DN6942_c0_g1_i4:1407-3821	1073.2	588
109109at33208	Duplicated	TRINITY_DN6942_c0_g1_i1:1389-3806	1073.2	588
109109at33208	Duplicated	TRINITY_DN6942_c0_g1_i5:644-3061	1073.2	588
111730at33208	Duplicated	TRINITY_DN5615_c0_g1_i1:205-2490	843.0	620
111730at33208	Duplicated	TRINITY_DN5615_c0_g1_i2:206-2491	843.0	620
111746at33208	Duplicated	TRINITY_DN1498_c0_g1_i1:366-2732	620.2	659
111746at33208	Duplicated	TRINITY_DN1498_c0_g1_i7:108-2474	620.2	659
114954at33208	Missing
115878at33208	Duplicated	TRINITY_DN13986_c0_g2_i5:39-2189	482.3	378
115878at33208	Duplicated	TRINITY_DN13986_c0_g2_i3:1-1134	479.9	332
118209at33208	Duplicated	TRINITY_DN9090_c0_g1_i1:386-3328	1587.5	857
118209at33208	Duplicated	TRINITY_DN9090_c0_g1_i2:386-3450	1587.5	857
119252at33208	Duplicated	TRINITY_DN1179_c0_g1_i1:76-2109	826.2	552
119252at33208	Duplicated	TRINITY_DN1179_c0_g1_i8:76-2109	826.2	552
119252at33208	Duplicated	TRINITY_DN1179_c0_g1_i4:76-2109	825.0	552
119252at33208	Duplicated	TRINITY_DN1179_c0_g1_i7:76-1941	779.2	510
119591at33208	Duplicated	TRINITY_DN4380_c0_g1_i6:109-3714	1438.4	996
119591at33208	Duplicated	TRINITY_DN4380_c0_g1_i2:109-3807	1429.8	1003
119591at33208	Duplicated	TRINITY_DN4380_c0_g1_i4:109-3849	1408.1	1003
121127at33208	Duplicated	TRINITY_DN2402_c0_g1_i6:702-3071	468.3	556
121127at33208	Duplicated	TRINITY_DN2402_c0_g1_i5:615-3185	467.6	556
121127at33208	Duplicated	TRINITY_DN2402_c0_g1_i2:615-3260	467.4	519
123923at33208	Duplicated	TRINITY_DN11047_c0_g1_i3:27-2252	339.5	480
123923at33208	Duplicated	TRINITY_DN11047_c0_g1_i5:27-2042	316.5	451
124302at33208	Duplicated	TRINITY_DN11508_c0_g1_i6:60-3401	906.9	803
124302at33208	Duplicated	TRINITY_DN11508_c0_g1_i5:60-3257	878.4	769
124302at33208	Duplicated	TRINITY_DN11508_c0_g1_i3:60-3149	849.1	731
127766at33208	Duplicated	TRINITY_DN431_c0_g1_i10:228-2285	764.0	555
127766at33208	Duplicated	TRINITY_DN431_c0_g1_i15:1816-3873	764.0	555
127766at33208	Duplicated	TRINITY_DN431_c0_g1_i3:1169-3226	764.0	555
127766at33208	Duplicated	TRINITY_DN431_c0_g1_i4:1798-3855	764.0	555
129179at33208	Duplicated	TRINITY_DN698_c0_g1_i2:133-2397	859.4	618
129179at33208	Duplicated	TRINITY_DN698_c0_g1_i3:133-2397	859.4	618
130245at33208	Complete	TRINITY_DN2186_c0_g1_i1:435-2864	564.5	467
130256at33208	Fragmented	TRINITY_DN2575_c0_g1_i7:292-1623	479.7	327
131349at33208	Duplicated	TRINITY_DN2597_c0_g1_i1:84-3242	1455.3	902
131349at33208	Duplicated	TRINITY_DN2597_c0_g1_i2:84-3242	1455.3	902
131848at33208	Duplicated	TRINITY_DN9858_c0_g1_i6:423-3140	666.9	528
131848at33208	Duplicated	TRINITY_DN9858_c0_g1_i2:423-3140	666.1	528
131848at33208	Duplicated	TRINITY_DN9858_c0_g1_i7:423-3140	666.1	528
132087at33208	Duplicated	TRINITY_DN1750_c0_g1_i1:104-3370	902.1	772
132087at33208	Duplicated	TRINITY_DN1750_c0_g1_i4:103-3369	902.1	772
132087at33208	Duplicated	TRINITY_DN1750_c0_g1_i6:103-3369	902.1	772
132087at33208	Duplicated	TRINITY_DN1750_c0_g1_i7:104-3370	902.1	772
132087at33208	Duplicated	TRINITY_DN1750_c0_g1_i8:103-3369	902.1	772
134492at33208	Duplicated	TRINITY_DN3450_c0_g1_i2:401-3787	1120.5	883
134492at33208	Duplicated	TRINITY_DN3450_c0_g1_i3:401-3787	1120.5	883
134492at33208	Duplicated	TRINITY_DN3450_c0_g1_i4:401-3787	1120.5	883
134492at33208	Duplicated	TRINITY_DN3450_c0_g1_i5:401-3787	1120.5	883
135294at33208	Complete	TRINITY_DN29286_c0_g1_i2:0-2510	650.3	506
137383at33208	Duplicated	TRINITY_DN6559_c0_g1_i18:41-2530	787.7	687
137383at33208	Duplicated	TRINITY_DN6559_c0_g1_i2:41-2530	787.7	687
137383at33208	Duplicated	TRINITY_DN6559_c0_g1_i23:41-3000	785.6	649
137383at33208	Duplicated	TRINITY_DN6559_c0_g1_i1:41-2599	760.5	693
139188at33208	Duplicated	TRINITY_DN9239_c0_g1_i4:196-2421	715.3	615
139188at33208	Duplicated	TRINITY_DN9239_c0_g1_i1:196-2466	712.6	615
139188at33208	Duplicated	TRINITY_DN9239_c0_g1_i5:196-2427	712.2	615
143619at33208	Complete	TRINITY_DN8722_c0_g1_i4:333-2021	346.7	322
143997at33208	Duplicated	TRINITY_DN7100_c0_g1_i1:436-2031	471.3	355
143997at33208	Duplicated	TRINITY_DN7100_c0_g1_i2:435-2030	471.3	355
143997at33208	Duplicated	TRINITY_DN7100_c0_g1_i4:435-2030	471.3	355
143997at33208	Duplicated	TRINITY_DN7100_c0_g1_i5:435-2030	471.3	355
146671at33208	Duplicated	TRINITY_DN14721_c0_g1_i2:112-3441	942.7	686
146671at33208	Duplicated	TRINITY_DN14721_c0_g1_i8:112-3441	941.8	690
146671at33208	Duplicated	TRINITY_DN14721_c0_g1_i5:112-3441	941.4	686
146671at33208	Duplicated	TRINITY_DN14721_c0_g1_i4:67-2118	829.8	572
147873at33208	Duplicated	TRINITY_DN5650_c1_g1_i14:600-2585	934.5	564
147873at33208	Duplicated	TRINITY_DN5650_c1_g1_i3:666-2651	934.5	564
147873at33208	Duplicated	TRINITY_DN5650_c1_g1_i12:600-2585	934.0	564
147873at33208	Duplicated	TRINITY_DN5650_c1_g1_i1:666-2651	934.0	564
148067at33208	Duplicated	TRINITY_DN2307_c0_g1_i7:274-3621	568.2	801
148067at33208	Duplicated	TRINITY_DN2307_c0_g1_i1:274-3621	567.8	801
148067at33208	Duplicated	TRINITY_DN2307_c0_g1_i2:491-3622	525.9	766
148325at33208	Duplicated	TRINITY_DN2794_c0_g1_i3:358-2079	345.6	287
148325at33208	Duplicated	TRINITY_DN2794_c0_g1_i5:358-2079	345.6	287
152327at33208	Duplicated	TRINITY_DN5629_c0_g1_i6:86-2143	486.3	368
152327at33208	Duplicated	TRINITY_DN5629_c0_g1_i4:86-2215	485.1	368
152327at33208	Duplicated	TRINITY_DN5629_c0_g1_i7:86-2215	485.1	368
152327at33208	Duplicated	TRINITY_DN5629_c0_g1_i3:86-2149	485.0	368
152977at33208	Duplicated	TRINITY_DN4776_c0_g1_i1:243-2162	516.8	502
152977at33208	Duplicated	TRINITY_DN4776_c0_g1_i4:243-2162	515.5	502
153034at33208	Duplicated	TRINITY_DN1426_c0_g1_i10:112-1938	765.5	502
153034at33208	Duplicated	TRINITY_DN1426_c0_g1_i11:112-1938	765.5	502
153034at33208	Duplicated	TRINITY_DN1426_c0_g1_i6:112-1938	765.5	502
157109at33208	Duplicated	TRINITY_DN3798_c0_g1_i1:324-3194	244.5	219
157109at33208	Duplicated	TRINITY_DN3798_c0_g1_i6:324-3236	244.5	219
157109at33208	Duplicated	TRINITY_DN3798_c0_g1_i7:324-3236	244.5	219
157109at33208	Duplicated	TRINITY_DN3798_c0_g1_i2:324-3320	244.4	219
157138at33208	Missing
158845at33208	Duplicated	TRINITY_DN4907_c0_g1_i8:440-2476	385.2	436
158845at33208	Duplicated	TRINITY_DN4907_c0_g1_i3:440-2476	384.9	436
158845at33208	Duplicated	TRINITY_DN4907_c0_g1_i5:440-2476	384.9	436
158962at33208	Complete	TRINITY_DN116045_c0_g1_i1:149-2521	818.7	568
162821at33208	Complete	TRINITY_DN44984_c0_g1_i1:338-2446	618.3	419
164767at33208	Duplicated	TRINITY_DN3879_c0_g1_i3:35-2734	835.3	719
164767at33208	Duplicated	TRINITY_DN3879_c0_g1_i2:35-2737	835.3	719
166097at33208	Complete	TRINITY_DN5609_c0_g1_i1:1129-2910	782.7	491
168850at33208	Duplicated	TRINITY_DN2432_c0_g1_i2:780-2684	802.8	528
168850at33208	Duplicated	TRINITY_DN2432_c0_g1_i3:514-2418	802.8	528
168924at33208	Duplicated	TRINITY_DN5900_c0_g1_i10:698-3637	562.0	563
168924at33208	Duplicated	TRINITY_DN5900_c0_g1_i11:695-3634	562.0	563
168924at33208	Duplicated	TRINITY_DN5900_c0_g1_i2:698-3637	562.0	563
168924at33208	Duplicated	TRINITY_DN5900_c0_g1_i5:698-3637	562.0	563
169864at33208	Duplicated	TRINITY_DN3313_c0_g1_i1:634-2517	505.1	517
169864at33208	Duplicated	TRINITY_DN3313_c0_g1_i4:634-2517	505.1	517
172677at33208	Complete	TRINITY_DN2655_c0_g1_i2:295-2586	213.4	236
176247at33208	Duplicated	TRINITY_DN6339_c0_g1_i3:162-1739	356.7	320
176247at33208	Duplicated	TRINITY_DN6339_c0_g1_i1:162-1325	328.4	276
176247at33208	Duplicated	TRINITY_DN6339_c0_g1_i4:162-1325	328.4	276
176247at33208	Duplicated	TRINITY_DN6339_c0_g1_i7:162-1325	328.4	276
177718at33208	Duplicated	TRINITY_DN3831_c0_g1_i2:662-2422	505.8	394
177718at33208	Duplicated	TRINITY_DN3831_c0_g1_i3:266-2026	505.8	394
177718at33208	Duplicated	TRINITY_DN3831_c0_g1_i4:661-2421	505.8	394
177718at33208	Duplicated	TRINITY_DN3831_c0_g1_i5:662-2422	505.8	394
177858at33208	Complete	TRINITY_DN5165_c0_g1_i1:119-2296	856.8	585
178537at33208	Duplicated	TRINITY_DN8106_c0_g1_i5:82-1728	973.0	465
178537at33208	Duplicated	TRINITY_DN8106_c0_g1_i2:82-1728	972.6	465
179485at33208	Duplicated	TRINITY_DN3240_c0_g1_i8:610-2472	537.7	557
179485at33208	Duplicated	TRINITY_DN3240_c0_g1_i13:610-2496	530.8	556
180808at33208	Duplicated	TRINITY_DN4537_c0_g1_i6:485-2203	786.2	473
180808at33208	Duplicated	TRINITY_DN4537_c0_g1_i2:685-2433	786.2	473
180808at33208	Duplicated	TRINITY_DN4537_c0_g1_i12:485-2221	786.2	473
180808at33208	Duplicated	TRINITY_DN4537_c0_g1_i18:485-2221	786.2	473
180808at33208	Duplicated	TRINITY_DN4537_c0_g1_i4:584-2320	786.2	473
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i1:678-2819	592.7	502
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i2:596-2737	592.7	502
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i3:525-2666	592.7	502
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i4:361-2502	592.7	502
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i6:637-2778	592.7	502
182834at33208	Duplicated	TRINITY_DN17758_c0_g1_i9:525-2666	592.7	502
184508at33208	Duplicated	TRINITY_DN1077_c0_g1_i7:478-3057	552.7	514
184508at33208	Duplicated	TRINITY_DN1077_c0_g1_i9:478-3296	540.7	514
184717at33208	Duplicated	TRINITY_DN615_c0_g1_i5:121-1920	937.1	519
184717at33208	Duplicated	TRINITY_DN615_c0_g1_i6:121-1920	937.1	519
