#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN34486_c0_g1_i10:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   1   2   2.4e-77   3.1e-74  247.0   3.1     1   142     3   151     3   158 0.96 -
TRINITY_DN34486_c0_g1_i10:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   2   2     0.039        52    2.6   0.1   134   157   163   190   152   190 0.67 -
TRINITY_DN34486_c0_g1_i11:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   1   2   2.4e-77   3.1e-74  247.0   3.1     1   142     3   151     3   158 0.96 -
TRINITY_DN34486_c0_g1_i11:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   2   2     0.039        52    2.6   0.1   134   157   163   190   152   190 0.67 -
TRINITY_DN34486_c0_g1_i14:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   1   2   2.4e-77   3.1e-74  247.0   3.1     1   142     3   151     3   158 0.96 -
TRINITY_DN34486_c0_g1_i14:129-953  -            275 546751at33208        -            157   9.2e-75  248.8   6.1   2   2     0.039        52    2.6   0.1   134   157   163   190   152   190 0.67 -
TRINITY_DN34486_c0_g1_i6:129-953   -            275 546751at33208        -            157   9.2e-75  248.8   6.1   1   2   2.4e-77   3.1e-74  247.0   3.1     1   142     3   151     3   158 0.96 -
TRINITY_DN34486_c0_g1_i6:129-953   -            275 546751at33208        -            157   9.2e-75  248.8   6.1   2   2     0.039        52    2.6   0.1   134   157   163   190   152   190 0.67 -
TRINITY_DN1573_c0_g1_i10:1174-1764 -            197 546751at33208        -            157   1.8e-16   59.3   2.0   1   1   1.8e-19   2.4e-16   59.0   2.0     1   144     3   142     3   177 0.87 -
TRINITY_DN1573_c0_g1_i3:1173-1763  -            197 546751at33208        -            157   1.8e-16   59.3   2.0   1   1   1.8e-19   2.4e-16   59.0   2.0     1   144     3   142     3   177 0.87 -
TRINITY_DN1573_c0_g1_i4:1174-1764  -            197 546751at33208        -            157   1.8e-16   59.3   2.0   1   1   1.8e-19   2.4e-16   59.0   2.0     1   144     3   142     3   177 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/546751at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/initial_run_results/546751at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/546751at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 09:04:03 2021
# [ok]
